Score;Max Tile;Avg Move Time;Run Time
51392;4096;0;7,5999459
36592;2048;0;6,7279741
25580;2048;0;4,0826145
71376;4096;0;10,9174832
63852;4096;0;9,6855976
37224;2048;0;6,237793
53224;4096;0;8,0699922
33616;2048;0;5,7900262
35468;2048;0;6,0877964
64400;4096;0;9,7972975
100852;8192;0;12,6196203
78696;4096;0;11,5621017
36984;2048;0;6,377188
33340;2048;0;5,5524947
55324;4096;0;8,1873268
49744;4096;0;7,320922
15988;1024;0;3,1484773
80392;4096;0;11,8401219
39952;2048;0;6,4278783
73168;4096;0;10,9327369
71908;4096;0;10,8528673
34496;2048;0;5,5414731
34204;2048;0;5,89467
53416;4096;0;8,3025146
104340;8192;0;13,2648966
37884;2048;0;6,6177853
80148;4096;0;11,6688315
90972;4096;0;12,3648056
134316;8192;0;18,2426098
31416;2048;0;5,8071204
24896;2048;0;4,0359032
75036;4096;0;10,9177493
35472;2048;0;6,0751411
38180;2048;0;6,6739189
59040;4096;0;8,9450956
61200;4096;0;9,1732508
62800;4096;0;9,6656528
29380;2048;0;4,9872567
46016;2048;0;7,6585032
61968;4096;0;9,3403287
79448;4096;0;11,5204018
38536;2048;0;6,5759733
38492;2048;0;6,5851553
86324;4096;0;12,5286177
65468;4096;0;9,381123
53480;4096;0;8,1485144
77280;4096;0;10,9764914
76836;4096;0;11,1902379
60368;4096;0;8,9265891
41252;2048;0;6,8309292
73176;4096;0;10,6865302
14184;1024;0;2,8685278
15496;1024;0;3,2832502
36100;2048;0;5,8109816
47772;4096;0;7,1278524
34012;2048;0;5,7978196
109816;8192;0;14,1290337
21088;1024;0;3,5805046
18212;1024;0;3,8702283
60056;4096;0;9,0895947
41932;2048;0;7,2668111
61144;4096;0;9,2234281
18200;1024;0;3,986963
78340;4096;0;11,406254
51612;4096;0;7,7298436
27256;2048;0;4,5484117
35960;2048;0;6,0782788
74932;4096;0;10,7516519
40148;2048;0;6,9565547
71968;4096;0;10,4752634
64444;4096;0;9,6576048
70656;4096;0;10,1436808
78920;4096;0;11,5840464
52872;4096;0;7,8216915
18088;1024;0;3,795471
67120;4096;0;9,5962488
67844;4096;0;9,8551047
40260;2048;0;6,7157887
56800;4096;0;8,2029622
28192;2048;0;5,0337931
34732;2048;0;5,9769464
40316;2048;0;6,4654019
56896;4096;0;8,6334181
78832;4096;0;11,7804417
80888;4096;0;11,89658
58632;4096;0;8,6391658
36316;2048;0;5,8543398
102256;8192;0;13,038926
32852;2048;0;5,2438239
67904;4096;0;9,9903775
25020;2048;0;4,3536197
71640;4096;0;10,4731049
76036;4096;0;10,7622194
32140;2048;0;5,501496
128108;8192;0;16,6424111
31256;2048;0;5,3061296
81120;4096;0;11,8392597
15968;1024;0;3,360403
112604;8192;0;14,230778
44000;2048;0;7,3358909

Average Score: 55058,52
Max Score: 134316
Min Score: 14184
Average Time: 8,32058704899999
Max Time: 18,2426098
Min Time: 2,8685278
Total Time: 832,058704899999
Average Move Time: 0
Max Tile: 8192
Runs: 100
Percentage of 2048 Tile: 92%
Percentage of 4096 Tile: 56%
Percentage of 8192 Tile: 7%

Depth = 5 + pruning 0.005.
