Score;Max Tile;Avg Move Time;Run Time
93384;4096;0;30,4288826
106840;8192;0;29,8150034
56540;4096;0;19,2149924
76544;4096;0;26,4808396
124372;8192;0;34,2736309
56524;4096;0;20,5016681
81920;4096;0;27,2628816
76532;4096;0;25,3695763
80736;4096;0;26,236753
38980;2048;0;15,8538846
66860;4096;0;23,1098367
142740;8192;0;41,3057393
61420;4096;0;20,6634798
77180;4096;0;24,4326374
80380;4096;0;28,5944802
73156;4096;0;23,4273822
71616;4096;0;23,9846298
166556;8192;0;46,7498542
31144;2048;0;13,711713
56364;4096;0;20,452192
70488;4096;0;23,2748421
34344;2048;0;13,9343559
35692;2048;0;15,0241686
6644;512;0;4,403115
38332;2048;0;14,9662848
123624;8192;0;36,1634636
76552;4096;0;25,2226533
123408;8192;0;34,4095187
47240;2048;0;18,1097196
70736;4096;0;23,1782545
133012;8192;0;39,1498344
32432;2048;0;14,3361981
77916;4096;0;25,4692584
49376;4096;0;15,9507605
70304;4096;0;23,0116088
79836;4096;0;26,6584021
61188;4096;0;23,5449366
32300;2048;0;13,3515885
33940;2048;0;14,0011696
80592;4096;0;26,8671516
74560;4096;0;25,5800538
79696;4096;0;25,7746102
72496;4096;0;26,2426024
130712;8192;0;39,1614365
32492;2048;0;12,9200147
60768;4096;0;22,4754025
132188;8192;0;38,4586822
89368;4096;0;27,3252027
134612;8192;0;40,0126307
39656;2048;0;17,0722058
33304;2048;0;14,6215095
45168;2048;0;18,2229248
27972;2048;0;12,9188847
79716;4096;0;27,5905788
64256;4096;0;24,4638709
63872;4096;0;24,0136891
125708;8192;0;39,537544
155712;8192;0;44,6071492
134608;8192;0;43,6423847
35884;2048;0;28,0926631
80760;4096;0;29,2463056
33472;2048;0;17,8957406
64640;4096;0;24,2354248
5720;512;0;4,1612673
83672;4096;0;31,067362
80532;4096;0;27,2767995
62148;4096;0;24,9733596
36292;2048;0;19,8447921
109316;8192;0;35,6516616
132928;8192;0;41,0501312
80776;4096;0;27,9754117
74764;4096;0;24,9193913
36228;2048;0;15,7209364
74748;4096;0;25,0804945
67740;4096;0;23,9011808
118532;8192;0;36,7504405
72316;4096;0;27,6904675
133260;8192;0;39,535833
53164;4096;0;19,2086587
132420;8192;0;38,5626185
21032;1024;0;10,326366
43672;2048;0;19,3907364
117200;8192;0;35,5876365
63584;4096;0;21,0559629
137000;8192;0;39,2071061
80740;4096;0;26,4650995
104224;8192;0;31,0615043
68620;4096;0;24,4590075
79756;4096;0;26,5342352
79796;4096;0;26,4566939
111548;8192;0;32,5295876
43360;2048;0;17,7689532
42344;2048;0;15,8474343
70704;4096;0;26,2074733
75752;4096;0;23,4103195
58284;4096;0;20,3252954
69140;4096;0;23,4910508
52556;4096;0;19,4219093
36328;2048;0;14,7474951
45280;2048;0;18,9766766

Average Score: 74448,4
Max Score: 166556
Min Score: 5720
Average Time: 25,136502027
Max Time: 46,7498542
Min Time: 4,1612673
Total Time: 2513,6502027
Average Move Time: 0
Max Tile: 8192
Runs: 100
Percentage of 2048 Tile: 97%
Percentage of 4096 Tile: 74%
Percentage of 8192 Tile: 22%

Depth = 7 + pruning 0.005.
