Score;Max Tile;Avg Move Time;Run Time
30764;2048;0;5,1413678
119568;8192;0;14,9491432
32256;2048;0;5,3133812
45828;2048;0;7,3837202
69376;4096;0;10,1182811
62260;4096;0;9,1302023
29596;2048;0;4,6437663
40388;2048;0;6,6215205
143332;8192;0;17,6513899
36052;2048;0;5,9730006
46320;4096;0;6,4668329
30072;2048;0;5,382744
56528;4096;0;8,383042
41280;2048;0;6,3201487
30844;2048;0;5,0354725
80664;4096;0;11,361591
36508;2048;0;5,6789604
16260;1024;0;3,1850843
40392;2048;0;6,3092829
6916;512;0;1,4706484
36288;2048;0;5,8411784
64500;4096;0;9,1207975
24712;2048;0;3,9484923
12156;1024;0;2,217359
74432;4096;0;10,0550655
79712;4096;0;11,1480795
34632;2048;0;5,3722113
85628;4096;0;14,1644566
55360;4096;0;8,6681271
43144;2048;0;8,2592829
60740;4096;0;9,3057123
36516;2048;0;6,2158371
38684;2048;0;6,7326935
25296;2048;0;4,2657888
30472;2048;0;4,886579
12384;1024;0;2,4174014
37636;2048;0;6,3346119
36300;2048;0;6,2126116
37896;2048;0;6,6189366
34900;2048;0;5,8498155
32144;2048;0;5,1161977
69668;4096;0;10,0481849
54148;4096;0;8,3120584
51560;4096;0;7,7899805
38576;2048;0;6,1618903
59968;4096;0;8,9727856
18404;1024;0;3,5674945
85400;4096;0;12,3024641
110352;8192;0;14,9887314
76368;4096;0;11,0663856
72264;4096;0;10,6411959
62664;4096;0;9,2113962
76384;4096;0;11,6627401
75340;4096;0;10,9472861
52492;4096;0;7,7547728
57076;4096;0;8,3289232
78212;4096;0;11,907745
55404;4096;0;7,9765735
60964;4096;0;9,4296832
32172;2048;0;5,5928858
51424;4096;0;7,6893273
44984;2048;0;7,2673151
47524;2048;0;7,6619028
80512;4096;0;12,0736517
10988;512;0;2,2690949
60328;4096;0;9,1231328
23664;2048;0;4,006645
77272;4096;0;11,3756595
56852;4096;0;8,8654267
60644;4096;0;8,8811434
16944;1024;0;3,37811
38604;2048;0;6,7813745
71764;4096;0;10,6886515
116756;8192;0;15,3649947
79744;4096;0;11,9772424
51376;4096;0;7,7937786
40168;2048;0;7,0640063
77356;4096;0;12,4531008
36060;2048;0;6,18971
36300;2048;0;5,9427345
75984;4096;0;12,0183085
79568;4096;0;12,5524767
44176;2048;0;7,4050272
31628;2048;0;5,9379683
38140;2048;0;6,3018191
51828;4096;0;7,7035056
62148;4096;0;9,3644843
56392;4096;0;8,0956563
62240;4096;0;8,6179037
37292;2048;0;5,8830455
60144;4096;0;8,3226047
51252;4096;0;6,9319854
38180;2048;0;6,0270963
25164;2048;0;3,8472935
75540;4096;0;10,7287298
16224;1024;0;2,9414157
51836;4096;0;7,1134266
80504;4096;0;11,3017623
58800;4096;0;8,167718
75532;4096;0;10,4289025

Average Score: 52279,88
Max Score: 143332
Min Score: 6916
Average Time: 7,924721253
Max Time: 17,6513899
Min Time: 1,4706484
Total Time: 792,4721253
Average Move Time: 0
Max Tile: 8192
Runs: 100
Percentage of 2048 Tile: 91%
Percentage of 4096 Tile: 53%
Percentage of 8192 Tile: 4%

Depth = 5 +  no pruning.
