Score;Max Tile;Avg Move Time;Run Time
89436;4096;0;22,6366421
130900;8192;0;47,042645
28972;2048;0;7,7922467
64316;4096;0;18,0201779
79440;4096;0;21,0530517
80712;4096;0;20,7606644
60452;4096;0;15,1277078
62056;4096;0;16,0508329
73448;4096;0;18,507849
64872;4096;0;17,6491291
8492;512;0;2,9019061
81920;4096;0;21,8857108
39056;2048;0;10,4738387
51872;4096;0;12,8072166
129788;8192;0;55,164185
40392;2048;0;10,8435199
129844;8192;0;47,3706801
33668;2048;0;9,7732716
89388;4096;0;22,8978459
75536;4096;0;19,7348203
77164;4096;0;18,796658
73220;4096;0;19,1932765
131364;8192;0;45,0078447
138312;8192;0;53,3946887
20100;1024;0;5,4147477
89464;4096;0;22,7682152
58716;4096;0;14,2137289
79820;4096;0;21,0898761
79880;4096;0;22,1278941
33424;2048;0;9,3994304
38500;2048;0;10,6719808
61844;4096;0;16,0134282
128996;8192;0;51,6826821
36128;2048;0;10,0961864
140120;8192;0;55,7290316
67940;4096;0;17,7908108
87820;4096;0;23,51973
33540;2048;0;9,8990325
60772;4096;0;15,6271699
79824;4096;0;21,9431248
87752;4096;0;23,9373691
132676;8192;0;52,9651275
77224;4096;0;20,7136983
156356;8192;0;92,1555046
47096;4096;0;10,1880251
76036;4096;0;20,2611234
91216;4096;0;23,5813508
76184;4096;0;20,2805459
37792;2048;0;10,6475716
69996;4096;0;17,5774302
32228;2048;0;8,7257931
32428;2048;0;9,009796
55480;4096;0;13,2847154
173188;8192;0;111,8941961
166108;8192;0;115,8136401
60376;4096;0;16,4995199
30864;2048;0;8,7346418
37180;2048;0;12,3423474
84632;4096;0;23,5550564
67720;4096;0;17,1855814
80572;4096;0;21,9539116
82508;4096;0;20,8535222
77628;4096;0;20,3788208
77280;4096;0;20,9683328
80424;4096;0;24,8893617
31880;2048;0;8,8300456
79920;4096;0;19,1721461
157924;8192;0;73,6305678
72048;4096;0;17,7365695
75728;4096;0;19,5527164
112996;8192;0;35,0429363
85408;4096;0;21,2009823
71604;4096;0;17,7740613
80436;4096;0;19,4196335
27420;2048;0;7,1802845
36012;2048;0;10,0823881
113316;8192;0;35,326774
80044;4096;0;21,0829896
23504;2048;0;6,14046
51592;4096;0;11,7958975
80572;4096;0;21,2939045
59976;4096;0;15,4781555
146408;8192;0;58,238586
68208;4096;0;16,6398823
27244;2048;0;6,9310885
156776;8192;0;77,5009269
81200;4096;0;23,9667958
78880;4096;0;21,641669
72924;4096;0;18,4566453
47020;4096;0;11,5720827
127388;8192;0;47,5670413
65908;4096;0;17,3175667
40200;2048;0;11,2091506
157104;8192;0;73,6982681
40440;2048;0;11,4864915
78132;4096;0;20,7279038
60540;4096;0;15,007154
60740;4096;0;15,8009142
78892;4096;0;22,2392237
173428;8192;0;104,9823267

Average Score: 77242,64
Max Score: 173428
Min Score: 8492
Average Time: 25,569946918
Max Time: 115,8136401
Min Time: 2,9019061
Total Time: 2556,9946918
Average Move Time: 0
Max Tile: 8192
Runs: 100
Percentage of 2048 Tile: 98%
Percentage of 4096 Tile: 78%
Percentage of 8192 Tile: 19%

Depth = 0-5, 10k-6, 50k-7, 100k-8, 120k-9, 150k-10 + pruning 0.005.
