Score;Max Tile;Avg Move Time;Run Time
596;64;0;0,2861841
556;64;0;0,2685837
1320;128;0;0,5038173
976;128;0;0,3521236
876;64;0;0,3954264
1192;128;0;0,4250247
2360;256;0;0,730939
648;64;0;0,3059326
640;64;0;0,2714208
520;64;0;0,2492892
1468;128;0;0,5083706
468;64;0;0,2429266
2172;256;0;0,6258608
1028;128;0;0,3934992
1384;128;0;0,4597242
1284;128;0;0,5214365
1256;128;0;0,5037968
976;128;0;0,3619857
384;32;0;0,2407293
408;32;0;0,2240779
1028;128;0;0,4384765
2064;256;0;0,701615
2364;256;0;0,7560338
596;64;0;0,2864999
1472;128;0;0,5246118
948;64;0;0,4017476
920;128;0;0,3557165
652;64;0;0,2831764
500;32;0;0,2573369
360;32;0;0,207453
2320;256;0;0,7567619
592;64;0;0,3228027
1124;128;0;0,423522
1108;128;0;0,4146954
628;64;0;0,2901072
1192;128;0;0,4472873
616;64;0;0,2639882
1088;128;0;0,4114904
644;64;0;0,318089
692;64;0;0,5902041
1196;128;0;0,5082337
1104;128;0;0,4332654
1072;128;0;0,4884918
780;64;0;0,4029698
984;64;0;0,4705215
1212;128;0;0,5022878
1176;128;0;0,4520166
1388;128;0;0,5390827
1324;128;0;0,5357857
1072;128;0;0,4191951
1100;128;0;0,4364045
496;32;0;0,2636237
892;128;0;0,3384621
1328;128;0;0,5015622
1076;128;0;0,4257863
1516;128;0;0,6233601
276;32;0;0,1921852
608;64;0;0,2973551
1084;128;0;0,4556796
412;32;0;0,2616351
976;128;0;0,3758765
1356;128;0;0,4916529
1304;128;0;0,4710667
1464;128;0;0,5205517
1188;128;0;0,4111589
648;64;0;0,3033618
1136;128;0;0,4649299
748;64;0;0,3370342
552;64;0;0,287803
1684;128;0;0,5385233
664;64;0;0,3086417
584;64;0;0,3030494
1516;128;0;0,5933066
784;64;0;0,3886454
1112;128;0;0,43175
616;64;0;0,2927236
1360;128;0;0,5202277
1224;128;0;0,4257042
648;64;0;0,2666576
272;32;0;0,1867232
264;32;0;0,1938379
696;64;0;0,3292344
1652;128;0;0,5837798
768;64;0;0,3500977
2224;256;0;0,6845754
468;32;0;0,2573667
1256;128;0;0,5122654
420;64;0;0,2176822
1320;128;0;0,4741287
320;32;0;0,2169233
764;64;0;0,3486457
836;64;0;0,346863
1816;128;0;0,6024508
2316;256;0;0,6524035
388;32;0;0,2087912
1096;128;0;0,4010813
652;64;0;0,2942781
1040;64;0;0,4504549
1324;128;0;0,5253324
1536;128;0;0,5523803
2328;256;0;0,7036708
832;64;0;0,35454
876;64;0;0,3938718
1332;128;0;0,5299496
1416;128;0;0,4905243
672;64;0;0,312281
624;64;0;0,3050261
1100;128;0;0,4140043
548;64;0;0,2647142
1500;128;0;0,5808302
412;32;0;0,263353
392;32;0;0,2285667
1348;128;0;0,4933526
1352;128;0;0,5291283
2480;256;0;0,775294
608;64;0;0,3079715
1504;128;0;0,5672979
1368;128;0;0,4774436
1576;128;0;0,5669405
2276;256;0;0,6873015
1028;128;0;0,4172489
1040;128;0;0,4062487
1164;128;0;0,4463499
1468;128;0;0,5268499
1060;128;0;0,42042
1372;128;0;0,4651044
656;64;0;0,2913981
688;64;0;0,3131866
980;128;0;0,3629509
1904;128;0;0,6549747
1344;128;0;0,4880853
356;32;0;0,2045964
548;64;0;0,2678658
1208;128;0;0,5310978
1236;128;0;0,4326899
1284;128;0;0,4549671
1104;128;0;0,4321149
824;64;0;0,3462877
1212;128;0;0,4110277
1372;128;0;0,5133208
884;64;0;0,6304032
420;32;0;0,2743132
1444;128;0;0,5339179
2096;256;0;0,6794117
1060;128;0;0,3754897
276;32;0;0,1775649
1240;128;0;0,494291
