Score;Max Tile;Avg Move Time;Run Time
56340;4096;0;8,7395236
64672;4096;0;10,6990692
61116;4096;0;9,6334542
34720;2048;0;6,03725
65020;4096;0;9,3507348
132324;8192;0;15,5335881
17852;1024;0;3,0778501
27360;2048;0;4,1232381
59988;4096;0;7,9504824
34688;2048;0;5,3646959
15116;1024;0;2,6826971
31032;2048;0;4,8755321
29028;2048;0;4,1825208
56616;4096;0;7,4106581
41616;2048;0;5,9157619
42232;2048;0;6,1956396
54756;4096;0;7,1857099
35716;2048;0;5,5983512
56400;4096;0;7,2865962
63844;4096;0;8,3247401
23808;2048;0;3,4618146
36316;2048;0;5,6001054
34904;2048;0;5,2499332
88828;4096;0;11,8334559
17004;1024;0;3,597469
80468;4096;0;12,4779686
43056;2048;0;7,3418033
19380;1024;0;3,8207526
18412;1024;0;3,9986205
45868;4096;0;6,8849004
71736;4096;0;10,967938
69828;4096;0;10,3396288
40448;2048;0;7,2094871
36276;2048;0;6,4574951
52388;4096;0;8,2315801
37224;2048;0;6,5488984
104104;8192;0;14,0481584
40756;2048;0;7,1482639
81092;4096;0;12,464603
71480;4096;0;10,974394
76528;4096;0;11,6709568
127116;8192;0;17,1176348
80844;4096;0;12,4080117
15568;1024;0;3,0610161
53932;4096;0;8,3883511
79372;4096;0;12,0155076
52068;4096;0;7,9495423
71616;4096;0;11,0134598
34144;2048;0;5,8275104
51780;4096;0;7,5608081
69880;4096;0;10,1733196
40064;2048;0;6,5915404
37092;2048;0;6,3742541
83840;4096;0;12,4792887
63044;4096;0;9,4256625
72248;4096;0;10,769176
36964;2048;0;6,0194777
19492;1024;0;3,7107708
87040;4096;0;12,541964
32552;2048;0;5,4382877
36112;2048;0;6,0783938
57916;4096;0;8,450711
34524;2048;0;5,5545956
55972;4096;0;8,4629701
16208;1024;0;3,2799747
16152;1024;0;3,077627
37764;2048;0;6,4701253
16340;1024;0;3,4042113
72608;4096;0;10,6377977
59592;4096;0;8,628415
33920;2048;0;5,7901886
76392;4096;0;10,9185165
34156;2048;0;5,6777902
16136;1024;0;3,1238951
31156;2048;0;5,332993
75192;4096;0;10,8833078
28256;2048;0;4,9573221
36876;2048;0;6,1565853
37964;2048;0;6,3739911
70284;4096;0;10,1751627
78924;4096;0;11,5314039
60608;4096;0;9,0765569
106700;8192;0;13,2982739
17024;1024;0;3,5169593
71424;4096;0;10,352284
48900;4096;0;7,0401093
9408;512;0;1,9509173
20028;1024;0;3,72047
60900;4096;0;9,7978487
75676;4096;0;11,4134906
78820;4096;0;12,0633621
60472;4096;0;9,330131
71400;4096;0;11,1635615
58200;4096;0;9,1126469
24524;2048;0;4,6218584
15732;1024;0;3,4114762
69724;4096;0;10,7236359
32964;2048;0;6,0083149
29260;2048;0;5,2045148
71460;4096;0;10,8767128

Average Score: 50846,64
Max Score: 132324
Min Score: 9408
Average Time: 7,770110062
Max Time: 17,1176348
Min Time: 1,9509173
Total Time: 777,0110062
Average Move Time: 0
Max Tile: 8192
Runs: 100
Percentage of 2048 Tile: 85%
Percentage of 4096 Tile: 52%
Percentage of 8192 Tile: 4%

Depth = 5 +  pruning 0.01.
