Score;Max Tile;Avg Move Time;Run Time
80680;4096;0;19,5082848
49880;4096;0;11,5265327
61004;4096;0;15,5450029
80668;4096;0;18,3427291
77496;4096;0;18,7976045
62420;4096;0;15,4811757
40148;2048;0;10,9350545
69448;4096;0;16,4772397
76344;4096;0;18,6258754
60536;4096;0;15,2885216
77768;4096;0;18,4847804
60444;4096;0;14,9661734
89556;4096;0;21,3078446
60332;4096;0;15,5766294
113948;8192;0;24,3595957
57580;4096;0;13,956434
121188;8192;0;24,7446589
34452;2048;0;10,0631334
79996;4096;0;19,3650286
91584;4096;0;20,5092869
102572;8192;0;22,0771036
80516;4096;0;19,2769819
106240;8192;0;21,1984119
62100;4096;0;15,5740402
69888;4096;0;16,2499089
156964;8192;0;32,1640515
36492;2048;0;10,9011792
78440;4096;0;18,0593976
132196;8192;0;26,6213826
62124;4096;0;14,8063748
35208;2048;0;10,0445722
141904;8192;0;29,4380121
25624;2048;0;7,6167608
64312;4096;0;15,862166
34556;2048;0;9,3622531
48180;4096;0;12,296135
27488;2048;0;8,2593071
112928;8192;0;23,829386
36072;2048;0;10,4923344
27304;2048;0;8,2145864
82376;4096;0;19,0955472
116588;8192;0;24,459239
83620;4096;0;18,3945836
89828;4096;0;18,7720322
151864;8192;0;30,6850668
54668;4096;0;11,857057
67168;4096;0;15,6603697
76232;4096;0;18,831965
134300;8192;0;27,6752074
80296;4096;0;20,0150364
76928;4096;0;17,851732
58760;4096;0;14,7309387
144488;8192;0;27,8087787
60440;4096;0;14,5191682
36072;2048;0;9,7398407
80580;4096;0;19,2541192
82012;4096;0;19,5374028
58744;4096;0;14,092093
32500;2048;0;9,2720478
15028;1024;0;5,3813699
81000;4096;0;20,1190181
62148;4096;0;15,1773553
106348;8192;0;23,1980478
78976;4096;0;20,2407671
79780;4096;0;21,2014919
36904;2048;0;10,3038918
8196;512;0;3,5682709
114716;8192;0;23,785295
141900;8192;0;28,935681
37100;2048;0;10,9405007
105444;8192;0;21,0143514
78260;4096;0;19,4864316
80604;4096;0;19,6455665
79600;4096;0;18,8878149
78716;4096;0;18,4591745
164376;8192;0;32,9166946
40776;2048;0;11,2169083
60780;4096;0;16,1574567
117328;8192;0;26,051616
79040;4096;0;20,3067868
112320;8192;0;23,0422312
45260;2048;0;12,1798718
68956;4096;0;18,1363213
59928;4096;0;14,5647283
71132;4096;0;17,9054637
89560;4096;0;24,428407
153536;8192;0;31,7724205
237776;16384;0;43,0248879
177444;8192;0;34,9157585
80356;4096;0;19,4689365
38148;2048;0;10,8999119
44624;2048;0;11,9680739
26544;2048;0;7,7912679
65328;4096;0;15,2899329
37864;2048;0;10,429723
132964;8192;0;28,8348276
41964;2048;0;12,7563439
75684;4096;0;18,4494925
69312;4096;0;17,4547423
66660;4096;0;16,4411532

Average Score: 0,24
Max Score: 237776
Min Score: 8196
Average Time: 18,052071435
Max Time: 43,0248879
Min Time: 3,5682709
Total Time: 1805,2071435
Average Move Time: 0
Max Tile: 16384
Runs: 100
Percentage of 2048 Tile: 98%
Percentage of 4096 Tile: 78%
Percentage of 8192 Tile: 23%
Percentage of 16384 Tile: 1%

Depth = 6 + pruning 0.005.
