Score;Max Tile;Avg Move Time;Run Time
72560;4096;0;70,3948412
47608;4096;0;50,0978872
80592;4096;0;90,9502636
79804;4096;0;80,6101369
147148;8192;0;106,107952
76892;4096;0;68,9553762
54400;4096;0;54,158054
29620;2048;0;40,5401
152396;8192;0;110,9936302
130692;8192;0;92,2020586
127160;8192;0;94,0608593
83940;4096;0;79,2999881
37980;2048;0;41,5768567
74032;4096;0;67,5961387
74500;4096;0;67,7499565
74932;4096;0;67,4170779
124264;8192;0;95,115224
34440;2048;0;40,5033869
40180;2048;0;41,9034387
79864;4096;0;66,0041069
59960;4096;0;54,6714181
16940;1024;0;27,9264668
162300;8192;0;104,9679699
76096;4096;0;63,9931649
80660;4096;0;62,5521788
157156;8192;0;112,1364081
8116;512;0;13,9056821
76148;4096;0;58,6433026
64300;4096;0;58,6813418
73252;4096;0;59,7904006
80876;4096;0;64,0066882
59784;4096;0;51,1795841
152596;8192;0;90,2358534
60572;4096;0;55,7215545
107176;8192;0;80,3886141
67424;4096;0;60,4967048
32396;2048;0;39,6491536
287096;16384;0;158,3213663
157152;8192;0;105,3647007
76748;4096;0;62,6887449
279852;16384;0;153,7733312
143472;8192;0;97,4908538
128492;8192;0;94,8666393
80596;4096;0;72,2795761
84296;4096;0;63,9275114
65136;4096;0;60,356316
134728;8192;0;92,0515135
58348;4096;0;56,0459163
155356;8192;0;102,9326895
76432;4096;0;60,7821738
172368;8192;0;108,8916554
32304;2048;0;38,1715471
60520;4096;0;56,8973781
176804;8192;0;109,80489
58808;4096;0;53,1886978
71528;4096;0;62,8248819
110844;8192;0;85,807012
132268;8192;0;96,1166704
166144;8192;0;120,4824724
157024;8192;0;105,3396758
51456;4096;0;46,3073384
132964;8192;0;91,9899539
112988;8192;0;80,902642
116596;8192;0;89,856699
60600;4096;0;51,5400769
132172;8192;0;94,2082654
34100;2048;0;33,3016795
33940;2048;0;39,2969543
71964;4096;0;57,7521231
79524;4096;0;64,6039434
88932;4096;0;68,386802
85912;4096;0;69,0111847
77160;4096;0;66,8555707
137280;8192;0;91,0107046
73832;4096;0;58,8286745
38376;2048;0;39,9258685
80112;4096;0;60,3474126
56304;4096;0;47,7879405
79144;4096;0;63,6831252
132996;8192;0;96,4581809
60488;4096;0;49,3317132
78760;4096;0;58,5158862
79836;4096;0;67,3758742
80464;4096;0;68,2897711
44496;2048;0;42,8367217
16844;1024;0;24,7712502
80560;4096;0;64,9768428
80148;4096;0;68,2682897
155404;8192;0;111,9691911
116384;8192;0;96,2089945
79056;4096;0;71,8058479
36284;2048;0;42,3127293
112900;8192;0;96,4165571
59752;4096;0;59,7978691
36488;2048;0;39,6070042
37196;2048;0;44,2426707
177356;8192;0;118,8078735
170000;8192;0;124,7087093
124348;8192;0;99,7999838
150768;8192;0;110,3381996

Average Score: 92789,56
Max Score: 287096
Min Score: 8116
Average Time: 72,76027153
Max Time: 158,3213663
Min Time: 13,9056821
Total Time: 7276,027153
Average Move Time: 0
Max Tile: 16384
Runs: 100
Percentage of 2048 Tile: 97%
Percentage of 4096 Tile: 84%
Percentage of 8192 Tile: 35%
Percentage of 16384 Tile: 2%

Depth = 8 + pruning 0.005.
