Score;Max Tile;Avg Move Time;Run Time
100236;8192;0;35,8687043
116560;8192;0;63,3882532
131124;8192;0;105,4883907
79092;4096;0;29,9687135
86940;4096;0;31,2651969
37312;2048;0;8,8965346
131516;8192;0;94,6157159
174844;8192;0;246,9346464
146188;8192;0;141,9398321
51732;4096;0;12,2086931
129704;8192;0;106,6751975
78248;4096;0;34,5537878
89368;4096;0;33,8000365
127984;8192;0;93,4102279
41672;2048;0;9,7827043
113204;8192;0;58,4284711
114144;8192;0;61,7792099
162540;8192;0;187,0968704
177164;8192;0;240,8908968
77436;4096;0;28,3920177
71584;4096;0;24,2783465
65588;4096;0;19,6427581
80416;4096;0;27,4795169
63652;4096;0;20,354153
122356;8192;0;64,8217223
57852;4096;0;17,038995
33444;2048;0;8,2991082
58996;4096;0;20,8556098
35360;2048;0;8,2294187
99784;4096;0;38,6327935
89328;4096;0;32,7207413
87376;4096;0;38,0478451
78720;4096;0;32,2880851
76492;4096;0;31,3376583
47748;4096;0;10,6150187
73468;4096;0;27,1095701
120424;8192;0;61,3542681
139676;8192;0;110,0556832
49356;4096;0;10,4646945
31696;2048;0;8,4387341
22488;1024;0;4,8326162
82436;4096;0;32,0521281
34604;2048;0;7,9976438
35188;2048;0;8,4688167
168412;8192;0;209,685933
59988;4096;0;18,9438277
76128;4096;0;26,3236134
34576;2048;0;7,9674235
31364;2048;0;7,7597269
138004;8192;0;117,5978089
52724;4096;0;11,6315443
123996;8192;0;71,2234381
71280;4096;0;23,1650626
176208;8192;0;255,8688737
157284;8192;0;136,7816264
246368;16384;0;1168,345072
124140;8192;0;77,902204
62836;4096;0;21,695276
177328;8192;0;247,6212932
270448;16384;0;1366,2256019
61704;4096;0;21,1419759
35516;2048;0;9,289347
89532;4096;0;31,3225641
37244;2048;0;9,4454062
82224;4096;0;32,5067933
174832;8192;0;252,7299102
81164;4096;0;28,3490703
114424;8192;0;55,8588864
15484;1024;0;3,6175731
51520;4096;0;13,1093436
76020;4096;0;27,743041
36188;2048;0;9,277256
82148;4096;0;30,5568248
120520;8192;0;66,5665604
79840;4096;0;30,701489
60016;4096;0;18,2140493
80592;4096;0;32,5835814
36412;2048;0;9,1867298
159192;8192;0;188,8146902
37888;2048;0;9,1582815
35524;2048;0;9,0855021
65996;4096;0;21,5791696
16136;1024;0;4,1856923
136152;8192;0;106,4410989
27860;2048;0;6,8684383
60832;4096;0;19,9065094
82244;4096;0;30,9228128
109572;8192;0;52,7163245
56308;4096;0;12,3869685
177332;8192;0;250,2711686
64248;4096;0;18,9359404
156956;8192;0;156,5526771
16264;1024;0;4,2913596
44696;2048;0;10,589063
35884;2048;0;8,8273081
78884;4096;0;29,7072978
132772;8192;0;107,9747578
101824;8192;0;36,3435613
138028;8192;0;111,7891621
162456;8192;0;182,4306081

Average Score: 90085,52
Max Score: 270448
Min Score: 15484
Average Time: 81,215171453
Max Time: 1366,2256019
Min Time: 3,6175731
Total Time: 8121,5171453
Average Move Time: 0
Max Tile: 16384
Runs: 100
Percentage of 2048 Tile: 96%
Percentage of 4096 Tile: 78%
Percentage of 8192 Tile: 36%
Percentage of 16384 Tile: 2%

Depth = 0-5, 10k-6, 50k-8, 100k-9, 120k-10, 150k-11, 170k-12 + pruning 0.005.
