Score;Max Tile;Avg Move Time;Run Time
1400;128;0;37,389201

Average Score: 1400
Max Score: 1400
Min Score: 1400
Average Time: 37,389201
Max Time: 37,389201
Min Time: 37,389201
Total Time: 37,389201
Average Move Time: 0
Max Tile: 128
Runs: 1
Percentage of 2048 Tile: 0%
